Loan Amount,Payment Coupon,Status 1/1/2023,Status 12/31/2023,Current Borrower Credit Score,Borrower Total Annual Debt-to-Income (Estimated),Default (90+ Days Past Due),Recovery (% of Exposure at Default),Time to Recovery (Months),PV recovery %,Actual loss,,
"$5,894 ",3.64%,current,paid off,613,0.43,FALSE,,,#VALUE!,0,,
"$30,947 ",5.40%,current,current,649,0.448,FALSE,,,#VALUE!,0,,
"$47,797 ",2.76%,current,current,700,0.752,FALSE,,,#VALUE!,0,,
"$183,602 ",3.75%,current,current,663,0.776,FALSE,,,#VALUE!,0,,
"$87,021 ",2.71%,current,current,654,0.464,FALSE,,,#VALUE!,0,,
"$133,119 ",6.79%,current,current,728,0.672,FALSE,,,#VALUE!,0,,
"$100,386 ",2.10%,current,current,610,0.768,FALSE,,,#VALUE!,0,,
"$52,877 ",5.27%,current,current,681,0.208,FALSE,,,#VALUE!,0,,
"$69,586 ",5.89%,current,current,617,0.2,FALSE,,,#VALUE!,0,,
"$160,698 ",6.42%,current,current,736,0.312,FALSE,,,#VALUE!,0,,
"$68,355 ",6.58%,current,current,638,0.328,FALSE,,,#VALUE!,0,,
"$74,934 ",4.48%,current,current,644,0.448,FALSE,,,#VALUE!,0,,
"$81,356 ",4.54%,current,current,663,0.44,FALSE,,,#VALUE!,0,,
"$34,453 ",6.78%,current,current,793,0.28,FALSE,,,#VALUE!,0,,
"$184,071 ",2.02%,current,current,735,0.352,FALSE,,,#VALUE!,0,,
"$174,433 ",5.42%,current,current,707,0.24,FALSE,,,#VALUE!,0,,
"$99,663 ",4.18%,current,current,624,0.2,FALSE,,,#VALUE!,0,,
"$165,634 ",5.66%,current,current,708,0.568,FALSE,,,#VALUE!,0,,
"$29,259 ",5.65%,current,current,720,0.2,FALSE,,,#VALUE!,0,,
"$67,726 ",2.78%,current,current,685,0.688,FALSE,,,#VALUE!,0,,
"$19,714 ",3.00%,current,current,645,0.2,FALSE,,,#VALUE!,0,,
"$40,649 ",4.59%,current,current,628,0.2,FALSE,,,#VALUE!,0,,
"$158,639 ",4.27%,current,current,691,0.2,FALSE,,,#VALUE!,0,,
"$123,817 ",5.29%,current,current,780,0.216,FALSE,,,#VALUE!,0,,
"$96,891 ",6.97%,current,current,749,0.2,FALSE,,,#VALUE!,0,,
"$192,407 ",3.53%,current,current,768,0.512,FALSE,,,#VALUE!,0,,
"$108,040 ",6.69%,current,current,728,0.384,FALSE,,,#VALUE!,0,,
"$154,387 ",3.60%,current,current,715,0.408,FALSE,,,#VALUE!,0,,
"$183,111 ",2.13%,current,current,792,0.2,FALSE,,,#VALUE!,0,,
"$48,651 ",3.67%,current,current,640,0.528,FALSE,,,#VALUE!,0,,
"$90,087 ",3.31%,current,current,616,0.2,FALSE,,,#VALUE!,0,,
"$129,600 ",6.53%,current,current,774,0.448,FALSE,,,#VALUE!,0,,
"$192,181 ",6.21%,current,current,671,0.376,FALSE,,,#VALUE!,0,,
"$167,855 ",4.38%,current,current,649,0.568,FALSE,,,#VALUE!,0,,
"$127,113 ",6.14%,current,current,694,0.2,FALSE,,,#VALUE!,0,,
"$111,753 ",3.55%,current,paid off,764,1.04,FALSE,,,#VALUE!,0,,
"$144,773 ",5.00%,current,paid off,787,0.63,FALSE,,,#VALUE!,0,,
"$193,246 ",5.83%,current,current,696,0.528,FALSE,,,#VALUE!,0,,
"$118,541 ",4.01%,current,current,798,0.2,FALSE,,,#VALUE!,0,,
"$152,394 ",2.17%,current,current,637,0.448,FALSE,,,#VALUE!,0,,
"$44,941 ",6.28%,current,current,638,0.752,FALSE,,,#VALUE!,0,,
"$195,678 ",6.90%,current,current,658,0.752,FALSE,,,#VALUE!,0,,
"$171,092 ",4.88%,current,current,770,0.312,FALSE,,,#VALUE!,0,,
"$174,771 ",5.14%,current,current,763,0.512,FALSE,,,#VALUE!,0,,
"$97,847 ",5.24%,current,current,664,0.56,FALSE,,,#VALUE!,0,,
"$16,600 ",3.77%,current,current,746,0.2,FALSE,,,#VALUE!,0,,
"$17,629 ",4.57%,current,current,796,0.696,FALSE,,,#VALUE!,0,,
"$132,341 ",5.96%,current,current,695,0.656,FALSE,,,#VALUE!,0,,
"$50,069 ",6.37%,current,current,667,0.608,FALSE,,,#VALUE!,0,,
"$43,153 ",6.27%,current,current,773,0.8,FALSE,,,#VALUE!,0,,
"$115,193 ",2.20%,current,current,732,0.632,FALSE,,,#VALUE!,0,,
"$199,049 ",4.36%,current,current,600,0.608,FALSE,,,#VALUE!,0,,
"$181,683 ",5.01%,delinquent in payments,defaulted,582.4,1.02,TRUE,7%,5,0.066771407,168965.19,,
"$139,865 ",6.94%,current,current,774,0.736,FALSE,,,#VALUE!,0,,
"$189,490 ",5.90%,current,current,739,0.4,FALSE,,,#VALUE!,0,,
"$41,533 ",4.14%,current,current,726,0.28,FALSE,,,#VALUE!,0,,
"$16,802 ",5.35%,current,paid off,628,0.2,FALSE,,,#VALUE!,0,,
"$103,792 ",6.25%,current,current,671,0.2,FALSE,,,#VALUE!,0,,
"$181,847 ",5.26%,current,current,709,0.216,FALSE,,,#VALUE!,0,,
"$49,848 ",4.68%,current,current,630,0.736,FALSE,,,#VALUE!,0,,
"$168,254 ",2.55%,current,current,694,0.488,FALSE,,,#VALUE!,0,,
"$122,455 ",5.30%,current,current,675,0.664,FALSE,,,#VALUE!,0,,
"$83,793 ",2.25%,current,current,754,0.336,FALSE,,,#VALUE!,0,,
"$84,599 ",2.96%,current,current,689,0.2,FALSE,,,#VALUE!,0,,
"$94,565 ",2.20%,current,current,781,0.552,FALSE,,,#VALUE!,0,,
"$58,644 ",5.98%,current,current,626,0.656,FALSE,,,#VALUE!,0,,
"$24,410 ",3.32%,current,current,710,0.28,FALSE,,,#VALUE!,0,,
"$57,898 ",6.26%,current,current,715,0.424,FALSE,,,#VALUE!,0,,
"$100,190 ",4.18%,current,current,648,0.2,FALSE,,,#VALUE!,0,,
"$173,381 ",2.63%,current,current,611,0.336,FALSE,,,#VALUE!,0,,
"$77,174 ",4.56%,current,current,734,0.2,FALSE,,,#VALUE!,0,,
"$86,353 ",3.03%,current,current,614,0.408,FALSE,,,#VALUE!,0,,
"$83,676 ",5.39%,current,current,618,0.304,FALSE,,,#VALUE!,0,,
"$188,187 ",5.90%,current,current,639,0.512,FALSE,,,#VALUE!,0,,
"$16,580 ",6.50%,current,current,715,0.568,FALSE,,,#VALUE!,0,,
"$86,512 ",2.96%,current,current,673,0.568,FALSE,,,#VALUE!,0,,
"$156,350 ",3.04%,current,current,755,0.736,FALSE,,,#VALUE!,0,,
"$134,658 ",3.00%,current,current,643,0.544,FALSE,,,#VALUE!,0,,
"$136,266 ",6.95%,current,current,698,0.712,FALSE,,,#VALUE!,0,,
"$80,090 ",5.98%,current,current,737,0.536,FALSE,,,#VALUE!,0,,
"$18,221 ",6.23%,current,current,784,0.6,FALSE,,,#VALUE!,0,,
"$75,730 ",3.79%,current,current,725,0.408,FALSE,,,#VALUE!,0,,
"$188,768 ",2.01%,current,current,760,0.352,FALSE,,,#VALUE!,0,,
"$173,356 ",6.68%,current,current,632,0.2,FALSE,,,#VALUE!,0,,
"$95,656 ",2.21%,current,current,635,0.312,FALSE,,,#VALUE!,0,,
"$13,965 ",5.86%,current,current,791,0.2,FALSE,,,#VALUE!,0,,
"$127,197 ",4.53%,current,paid off,627,0.64,FALSE,,,#VALUE!,0,,
"$197,028 ",4.71%,current,current,755,0.24,FALSE,,,#VALUE!,0,,
"$6,107 ",3.46%,current,current,771,0.224,FALSE,,,#VALUE!,0,,
"$126,436 ",5.78%,current,current,782,0.6,FALSE,,,#VALUE!,0,,
